Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-78.584,0,15.3122
1,0,-65.055,0,85.3337
2,0,-46.048,0,75.351
3,0,-30.468,0,58.454
4,0,-23.845,0,45.8451
5,0,-17.156,0,35.4423
6,0,-14.41,0,32.2067
7,0,-21.552,0,49.6891
8,0,-17.047,0,41.6161
9,0,-14.165,0,32.8822
10,0,-13.784,0,37.9697
11,0,-10.55,0,27.0999
12,0,-11.58,0,31.5782
13,0,-10.654,0,21.7432
14,0,-8.184,0,8.65498
15,0,-7.11,0,6.95692
16,0,-10.438,0,30.5631
17,0,-9.308,0,30.1453
18,0,-7.234,0,9.79331
19,0,-8.972,0,18.6379
20,0,-8.973,0,26.0748
21,0,-6.939,0,8.1973
22,0,-7.658,0,12.7866
23,0,-6.581,0,9.36711
24,0,-6.735,0,9.25838
25,0,-5.916,0,7.67756
26,0,-6.454,0,7.78333
27,0,-10.562,0,31.0329
28,0,-10.256,0,31.7917
29,0,-7.653,0,12.769
30,0,-14.951,0,46.2698
31,0,-11.615,0,35.6147
32,0,-6.963,0,12.8368
33,0,-7.491,0,19.9667
34,0,-8.118,0,13.3389
35,0,-5.067,0,6.50984
36,0,-6.106,0,9.95381
37,0,-6.514,0,8.3679
38,0,-11.462,0,33.4566
39,0,-10.91,0,28.9886
40,0,-8.196,0,10.9199
41,0,-7.634,0,12.4156
42,0,-8.741,0,15.5951
43,0,-9.677,0,30.4068
44,0,-10.244,0,27.3598
45,0,-6.254,0,9.25859
46,0,-6.288,0,10.1715
47,0,-11.536,0,31.6567
48,0,-8.02,0,12.0212
49,0,-8.107,0,13.9381
50,0,-6.46,0,9.22027
51,0,-9.34,0,13.0793
52,0,-14.244,0,35.5796
53,0,-9.866,0,18.897
54,0,-7.076,0,8.78302
55,0,-7.881,0,14.414
56,0,-7.729,0,12.3206
57,0,-8.143,0,11.3504
58,0,-6.895,0,9.18443
59,0,-12.659,0,32.1129
60,0,-6.198,0,9.798
61,0,-8.57,0,14.1767
62,0,-8.218,0,14.7923
63,0,-7.521,0,10.2151
64,0,-12.167,0,32.8629
65,0,-8.407,0,11.7374
66,0,-15.004,0,38.6504
67,0,-7.154,0,7.7374
68,0,-10.575,0,18.8886
69,0,-7.003,0,9.07004
70,0,-8.986,0,15.4646
71,0,-7.311,0,12.2521
72,0,-7.208,0,8.64437
73,0,-12.963,0,43.3831
74,0,-7.374,0,10.4749
75,0,-9.072,0,14.3792
76,0,-8.062,0,12.9104
77,0,-7.908,0,14.8365
78,0,-9.58,0,23.2548
79,0,-8.635,0,13.5497
80,0,-10.26,0,31.3303
81,0,-7.674,0,13.6111
82,0,-8.332,0,12.1317
83,0,-7.253,0,8.85162
84,0,-10.503,0,20.9962
85,0,-8.248,0,12.1891
86,0,-7.635,0,9.8397
87,0,-8.621,0,11.8082
88,0,-5.936,0,9.2616
89,0,-8.559,0,14.6196
90,0,-5.62,0,6.93023
91,0,-7.496,0,11.2435
92,0,-7.651,0,10.6855
93,0,-7.232,0,12.1947
94,0,-7.032,0,10.9387
95,0,-7.716,0,16.0221
96,0,-13.459,0,42.3608
97,0,-6.694,0,12.6759
98,0,-6.733,0,12.5046
99,0,-6.73,0,8.88904
