Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-281.89,0,237.564
1,0,-164.74,0,251.654
2,0,-140.94,0,256.895
3,0,-130.73,0,258.991
4,0,-124.8,0,260.181
5,0,-124.85,0,260.296
6,0,-115.45,0,262.399
7,0,-115.9,0,262.414
8,0,-114.07,0,262.815
9,0,-109.58,0,264.028
10,0,-110.27,0,263.871
11,0,-108.86,0,264.208
12,0,-105.52,0,265.195
13,0,-102.84,0,265.917
14,0,-102.18,0,266.102
15,0,-100.57,0,266.57
16,0,-99.34,0,266.935
17,0,-97.68,0,267.426
18,0,-96.2,0,267.865
19,0,-94.63,0,268.33
