Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-1213.19,0,157.327,0
1,-562.79,0,158.41,0
2,-408.16,0,254.424,0
3,-391.55,0,353.815,0
4,-304.84,0,278.332,0
5,-435.17,0,595.755,0
6,-486.86,0,758.214,0
7,-475.6,0,726.084,0
8,-332.82,0,594.901,0
9,-313.57,0,538.882,0
10,-312.63,0,641.749,0
11,-200.44,0,356.577,0
12,-189.4,0,362.949,0
13,-186.35,0,302.374,0
14,-209.98,0,412.336,0
15,-151.63,0,20.1733,0
16,-153.59,0,20.5196,0
17,-152.69,0,19.067,0
18,-155.44,0,27.7428,0
19,-159.23,0,27.4884,0
20,-162.41,0,27.9571,0
21,-160.5,0,25.2068,0
22,-162.55,0,26.2818,0
23,-168.04,0,29.2561,0
24,-169.44,0,28.6999,0
25,-176.9,0,28.8159,0
26,-175.37,0,29.8334,0
27,-169.26,0,28.8534,0
28,-172.02,0,26.1958,0
29,-175.27,0,25.239,0
30,-175.88,0,29.5667,0
31,-176.96,0,28.4154,0
32,-181.56,0,32.1289,0
33,-188.35,0,34.9298,0
34,-193.51,0,39.4745,0
35,-192.37,0,34.455,0
36,-197.37,0,36.5609,0
37,-202.02,0,46.8065,0
38,-210.33,0,44.3849,0
39,-204.28,0,44.0794,0
