Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-1231.73,0,176.822
1,0,-575.87,0,162.418
2,0,-446.34,0,222.517
3,0,-410.29,0,321.891
4,0,-401.29,0,382.739
5,0,-474.61,0,572.438
6,0,-421.36,0,562.444
7,0,-492.16,0,701.093
8,0,-393.3,0,545.505
9,0,-330.43,0,465.681
10,0,-372.33,0,559.812
11,0,-214.55,0,293.147
12,0,-197.91,0,280.617
13,0,-278.98,0,484.011
14,0,-229.82,0,346.689
15,0,-173.41,0,33.0451
16,0,-202.62,0,249.376
17,0,-172.96,0,35.0765
18,0,-196.2,0,233.472
19,0,-174.48,0,65.7518
20,0,-177.08,0,35.3798
21,0,-185.49,0,73.1801
22,0,-178.48,0,38.4186
23,0,-182.93,0,41.3686
24,0,-182.34,0,38.5209
25,0,-185.39,0,38.6382
26,0,-182.64,0,33.6844
27,0,-187.67,0,41.6903
28,0,-187.79,0,39.1865
29,0,-192.95,0,34.6706
30,0,-191.27,0,40.7587
31,0,-195.12,0,37.8493
32,0,-198.22,0,38.7193
33,0,-205.36,0,41.3601
34,0,-206.03,0,42.1336
35,0,-197.91,0,37.1106
36,0,-192.01,0,34.8267
37,0,-200.8,0,36.8437
38,0,-205.07,0,39.1411
39,0,-207.89,0,41.5145
