Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,32.96,0,36.6004
1,0,27.46,0,28.729
2,0,43.36,0,59.86
3,0,49.66,0,74.8998
4,0,81.86,0,127.314
5,0,122.56,0,219.9
6,0,91.64,0,181.287
7,0,129.46,0,198.24
8,0,133.14,0,219.897
9,0,96.98,0,140.155
10,0,85.86,0,117.34
11,0,91.34,0,134.955
12,0,117.14,0,143.93
13,0,108,0,152.726
14,0,92.8,0,181.629
15,0,113.98,0,178.965
16,0,110.42,0,153.555
17,0,102.68,0,161.155
18,0,83.88,0,97.4806
19,0,118.48,0,199.192
20,0,90,0,143.773
21,0,97.4,0,136.023
22,0,100.22,0,159.06
23,0,84,0,160.036
24,0,51.28,0,55.8833
25,0,81.9,0,151.842
26,0,68.78,0,86.7874
27,0,101.62,0,148.939
28,0,103.3,0,138.846
29,0,102,0,158.178
30,0,76.32,0,91.9253
31,0,93.58,0,129.608
32,0,75.22,0,107.337
33,0,77.84,0,117.933
34,0,71.56,0,85.3466
35,0,72.66,0,100.068
36,0,94.56,0,160.666
37,0,93.84,0,163.096
38,0,111.34,0,200.114
39,0,113.5,0,168.333
40,0,91.2,0,184.998
41,0,58.72,0,65.4507
42,0,60.14,0,71.0852
43,0,67.66,0,92.1283
44,0,88.24,0,112.099
45,0,76.98,0,131.949
46,0,62.56,0,92.3996
47,0,77.58,0,120.596
48,0,65.38,0,91.8141
49,0,100.26,0,150.527
