Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,24.28,0,11.9899,0
1,23.92,0,17.2163,0
2,23.62,0,17.3357,0
3,21.56,0,16.027,0
4,21.34,0,12.1598,0
5,21.4,0,16.2794,0
6,22.02,0,14.0036,0
7,19.66,0,9.70296,0
8,21.72,0,13.7811,0
9,25.62,0,20.428,0
10,25.88,0,18.3299,0
11,21.72,0,14.122,0
12,22.24,0,16.1353,0
13,24.32,0,19.8879,0
14,23.84,0,14.9998,0
15,24.54,0,15.7068,0
16,19.52,0,11.395,0
17,22.9,0,17.3596,0
18,20.8,0,12.7983,0
19,22.88,0,11.5417,0
20,25.76,0,16.9953,0
21,22.5,0,12.5605,0
22,18.88,0,8.82399,0
23,24.74,0,14.1664,0
24,22.84,0,12.6335,0
25,21.48,0,15.3971,0
26,20.62,0,14.5643,0
27,24.76,0,18.7492,0
28,23.08,0,14.0826,0
29,22.78,0,15.6339,0
30,20.6,0,13.3951,0
31,21.18,0,12.8201,0
32,22.46,0,12.8638,0
33,19.68,0,12.5299,0
34,22.7,0,17.8626,0
35,22.48,0,17.0177,0
36,15.68,0,7.22648,0
37,16.24,0,8.07758,0
38,16.36,0,9.61241,0
39,13.38,0,4.5754,0
40,14.64,0,6.47998,0
41,14.12,0,6.66897,0
42,13.42,0,5.02276,0
43,13.62,0,4.87765,0
44,13.98,0,6.85562,0
45,13.16,0,4.27312,0
46,13.14,0,4.64675,0
47,12.88,0,4.43382,0
48,12.9,0,4.04692,0
49,12.86,0,4.48585,0
