Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-1753.95,0,249.344
1,0,-1230.77,0,620.181
2,0,-854.57,0,824.409
3,0,-667.21,0,815.386
4,0,-428.56,0,629.043
5,0,-306.38,0,412.976
6,0,-219.36,0,247.376
7,0,-188.91,0,71.2675
8,0,-179.94,0,63.5735
9,0,-170.05,0,48.2006
10,0,-167.39,0,48.8822
11,0,-162.1,0,33.124
12,0,-160.72,0,27.9831
13,0,-160.51,0,30.3586
14,0,-155.65,0,28.1516
15,0,-160.25,0,24.8947
16,0,-160.57,0,25.475
17,0,-161.05,0,22.3202
18,0,-158.81,0,27.1668
19,0,-153.66,0,20.2999
20,0,-155.93,0,24.2092
21,0,-154.94,0,23.227
22,0,-153.03,0,24.9879
23,0,-157.23,0,23.4382
24,0,-155.85,0,27.1052
25,0,-155.89,0,25.3922
26,0,-155.62,0,26.496
27,0,-154.63,0,24.4196
28,0,-152.97,0,24.4732
29,0,-147.84,0,25.9026
30,0,-150.86,0,29.2513
31,0,-149.71,0,28.4542
32,0,-148.93,0,28.3639
33,0,-149.21,0,30.3522
34,0,-147.84,0,30.2704
35,0,-144.91,0,27.6618
36,0,-148.59,0,30.8211
37,0,-151.21,0,31.4039
38,0,-153.63,0,34.598
39,0,-145.13,0,28.6218
