Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.48,0,1.29741,0
1,9.34,0,0.626295,0
2,9.58,0,0.835195,0
3,9.74,0,1.32187,0
4,9.16,0,0.467734,0
5,9.46,0,1.01439,0
6,9.74,0,1.13946,0
7,9.6,0,1.01015,0
8,69.76,0,240.216,0
9,87.12,0,237.37,0
10,248.08,0,414.711,0
11,293.7,0,422.625,0
12,465.92,0,471.103,0
13,456.48,0,434.549,0
14,569.14,0,440.084,0
15,600.72,0,424.414,0
16,673.22,0,423.537,0
17,683.76,0,416.651,0
18,636.02,0,434.602,0
19,531,0,417.292,0
20,718.48,0,388.389,0
21,744.16,0,374.513,0
22,657.42,0,402.2,0
23,663.96,0,423.707,0
24,658.9,0,415.679,0
25,674.68,0,390.624,0
26,669.08,0,425.752,0
27,715.64,0,397.061,0
28,768.24,0,375.587,0
29,784.08,0,364.279,0
30,809.28,0,365.458,0
31,730.42,0,405.208,0
32,770.6,0,403.515,0
33,816.5,0,366.513,0
34,816.8,0,365.024,0
35,869.78,0,318.575,0
36,920.04,0,276.271,0
37,842.36,0,357.675,0
38,852.46,0,341.589,0
39,867.76,0,336.507,0
40,866.06,0,340.683,0
41,851.58,0,352.759,0
42,853.24,0,353.02,0
43,889.52,0,318.159,0
44,894.76,0,318.129,0
45,892.28,0,317.351,0
46,897.26,0,311.478,0
47,915.24,0,290.292,0
48,896.52,0,313.485,0
49,943.44,0,236.492,0
