Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,212.4,0,403.407
1,0,229.9,0,419.043
2,0,249.88,0,432.055
3,0,270.06,0,443.652
4,0,249.68,0,432.169
5,0,249.74,0,432.135
6,0,340.88,0,468.77
7,0,311.8,0,462.557
8,0,312.7,0,462.139
9,0,330.3,0,471.699
10,0,499.38,0,497.447
11,0,555.34,0,499.247
12,0,639.56,0,480.541
13,0,718.3,0,440.964
14,0,693.76,0,457.439
15,0,721.38,0,450.786
16,0,734.7,0,447.92
17,0,757.32,0,432.953
18,0,737.36,0,443.887
19,0,773,0,423.76
20,0,755.04,0,436.636
21,0,759.7,0,429.051
22,0,864,0,342.733
23,0,895.24,0,317.159
24,0,914.1,0,288.926
25,0,902.54,0,302.454
26,0,833.1,0,383.85
27,0,913.32,0,296.312
28,0,915.56,0,289.811
29,0,853,0,365.972
30,0,899.52,0,307.746
31,0,833.32,0,383.376
32,0,853.12,0,365.726
33,0,833.16,0,383.685
34,0,892.98,0,323.103
35,0,971,0,197.949
36,0,850.92,0,370.513
37,0,852.4,0,367.223
38,0,844.86,0,367.134
39,0,892.46,0,324.393
40,0,912.28,0,299.287
41,0,901.42,0,305.276
42,0,952.48,0,234.146
43,0,896.04,0,315.349
44,0,921.06,0,274.461
45,0,916.02,0,288.71
46,0,882.72,0,324.142
47,0,935.6,0,259.025
48,0,859.6,0,352
49,0,904.58,0,293.13
