Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-46.494,0,21.6209
1,0,-58.871,0,87.0809
2,0,-39.418,0,69.9057
3,0,-24.443,0,53.4243
4,0,-20.58,0,39.7773
5,0,-18.393,0,39.153
6,0,-15.298,0,27.7028
7,0,-12.867,0,16.6265
8,0,-14.833,0,35.1767
9,0,-9.68,0,10.2447
10,0,-11.848,0,31.3806
11,0,-6.931,0,7.1996
12,0,-14.421,0,36.5982
13,0,-13.524,0,30.448
14,0,-9.996,0,12.5415
15,0,-8.795,0,9.26591
16,0,-10.206,0,30.3147
17,0,-7.761,0,9.17237
18,0,-9.943,0,14.9505
19,0,-7.095,0,7.15497
20,0,-10.197,0,30.6852
21,0,-9.087,0,12.8486
22,0,-9.553,0,30.3871
23,0,-8.619,0,11.7304
24,0,-9.36,0,14.1614
25,0,-8.545,0,11.8494
26,0,-10.797,0,31.7335
27,0,-11.391,0,31.1788
28,0,-10.989,0,30.7923
29,0,-13.587,0,36.4335
30,0,-6.706,0,9.30659
31,0,-7.51,0,8.77323
32,0,-7.601,0,7.63861
33,0,-7.53,0,10.2183
34,0,-8.334,0,14.8099
35,0,-7.876,0,8.6692
36,0,-7.119,0,7.06578
37,0,-7.174,0,12.1023
38,0,-8.414,0,10.9991
39,0,-7.404,0,9.00942
40,0,-11.322,0,29.223
41,0,-7.16,0,7.92541
42,0,-7.789,0,11.1031
43,0,-7.976,0,8.37588
44,0,-6.49,0,7.64237
45,0,-9.265,0,30.5076
46,0,-6.555,0,8.99227
47,0,-6.689,0,8.61029
48,0,-5.698,0,6.65157
49,0,-6.782,0,7.69663
50,0,-10.021,0,30.6344
51,0,-6.188,0,10.3276
52,0,-8.349,0,16.6953
53,0,-9.07,0,30.472
54,0,-6.793,0,9.88842
55,0,-6.673,0,8.38136
56,0,-6.744,0,7.61495
57,0,-10.555,0,31.937
58,0,-6.974,0,11.3555
59,0,-7.072,0,10.4927
60,0,-7.457,0,23.0365
61,0,-7.816,0,10.0077
62,0,-10.703,0,32.3199
63,0,-9.11,0,18.9696
64,0,-8.561,0,11.6386
65,0,-11.158,0,31.8222
66,0,-6.986,0,8.39707
67,0,-9.046,0,21.4423
68,0,-9.094,0,20.2969
69,0,-10.108,0,21.4377
70,0,-7.744,0,11.0258
71,0,-7.574,0,8.47668
72,0,-10.953,0,19.3265
73,0,-8.017,0,12.587
74,0,-7.79,0,13.6138
75,0,-7.41,0,9.22618
76,0,-10.896,0,26.2922
77,0,-5.243,0,6.9723
78,0,-8.38,0,17.1703
79,0,-11.064,0,35.6742
80,0,-11.171,0,29.0379
81,0,-8.742,0,11.0196
82,0,-9.178,0,17.0311
83,0,-6.338,0,8.34813
84,0,-6.562,0,11.1695
85,0,-7.521,0,10.3435
86,0,-6.421,0,8.3502
87,0,-5.258,0,7.1137
88,0,-9.899,0,18.8528
89,0,-7.191,0,7.69918
90,0,-7.055,0,12.1542
91,0,-6.783,0,8.03275
92,0,-5.477,0,6.33676
93,0,-6.635,0,6.87843
94,0,-6.418,0,8.42999
95,0,-6.145,0,6.86522
96,0,-9.636,0,28.9054
97,0,-8.645,0,14.5414
98,0,-7.645,0,12.5105
99,0,-8.106,0,14.7184
