Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-134.93,0,80.3831,0
1,-74.24,0,83.7119,0
2,-113.99,0,115.451,0
3,-118.98,0,155.18,0
4,-170.52,0,239.111,0
5,-155.17,0,213.518,0
6,-154.25,0,214.436,0
7,-155.06,0,219.402,0
8,-136.26,0,205.835,0
9,-118.83,0,176.695,0
10,-132.45,0,165.613,0
11,-138.5,0,170.203,0
12,-118.62,0,166.426,0
13,-116.93,0,147.579,0
14,-124.3,0,140.365,0
15,-124.66,0,143.118,0
16,-121.71,0,140.555,0
17,-107.28,0,111.615,0
18,-115.07,0,170.869,0
19,-144.55,0,175.13,0
