Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-1725.28,0,215.999,0
1,-1105.62,0,588.749,0
2,-902.69,0,714.341,0
3,-586.16,0,615.857,0
4,-505.34,0,687.852,0
5,-283.56,0,270.765,0
6,-221.99,0,99.7894,0
7,-213.46,0,78.9464,0
8,-199.17,0,60.5503,0
9,-192.52,0,43.3742,0
10,-183.67,0,38.6915,0
11,-184.55,0,39.4381,0
12,-172.89,0,26.8659,0
13,-175.77,0,35.9309,0
14,-173.57,0,26.8137,0
15,-171.01,0,26.6172,0
16,-172.85,0,32.9899,0
17,-175.74,0,34.865,0
18,-168.99,0,30.6655,0
19,-172.29,0,32.0354,0
20,-171.88,0,32.5962,0
21,-175.19,0,31.3593,0
22,-175.07,0,31.8498,0
23,-173.51,0,34.029,0
24,-170.31,0,34.8424,0
25,-177.73,0,31.6413,0
26,-177.26,0,33.1923,0
27,-171.14,0,33.3203,0
28,-169.45,0,34.1483,0
29,-170.78,0,35.5916,0
30,-176.63,0,33.7111,0
31,-179.27,0,37.2227,0
32,-178.86,0,34.7095,0
33,-177.94,0,32.5247,0
34,-181.38,0,31.9598,0
35,-179.85,0,33.3471,0
36,-176.84,0,33.5513,0
37,-179.58,0,34.9791,0
38,-179.59,0,33.6392,0
39,-178.31,0,33.234,0
