Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-1025.49,0,159.614
1,0,-470.04,0,161.636
2,0,-354.05,0,245.131
3,0,-407.47,0,495.079
4,0,-429.73,0,540.752
5,0,-512.38,0,726.232
6,0,-538.41,0,861.834
7,0,-325.96,0,466.642
8,0,-248.47,0,354.527
9,0,-308.65,0,585.075
10,0,-348.91,0,700.057
11,0,-202.89,0,269.703
12,0,-178.87,0,195.6
13,0,-212.61,0,352.091
14,0,-181.68,0,186.686
15,0,-164.52,0,48.3459
16,0,-168.26,0,30.7944
17,0,-171.27,0,32.4398
18,0,-193.55,0,225.478
19,0,-179.05,0,35.9321
20,0,-180.2,0,38.8317
21,0,-174.26,0,33.2252
22,0,-178.67,0,40.3082
23,0,-184.95,0,48.545
24,0,-191.22,0,45.5757
25,0,-184.57,0,36.2679
26,0,-190.16,0,32.2145
27,0,-192.06,0,34.389
28,0,-196.09,0,50.1281
29,0,-201.2,0,48.9087
30,0,-191.92,0,37.1262
31,0,-197.53,0,39.3512
32,0,-202.58,0,51.5088
33,0,-201.71,0,47.1652
34,0,-199.9,0,48.1121
35,0,-202.1,0,47.5064
36,0,-206.78,0,42.751
37,0,-221.65,0,59.4035
38,0,-219.09,0,54.0772
39,0,-207.19,0,45.2811
