Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.5,0,0.952976,0
1,9.38,0,0.725343,0
2,9.24,0,0.624663,0
3,9.28,0,0.640153,0
4,9.14,0,0.639196,0
5,9.14,0,0.534904,0
6,49.66,0,198.241,0
7,69.42,0,240.304,0
8,72.56,0,240.2,0
9,129.92,0,328.676,0
10,130.56,0,328.453,0
11,157.96,0,348.795,0
12,141.98,0,302.605,0
13,165.7,0,342.172,0
14,273.76,0,421.266,0
15,252.6,0,409.587,0
16,194.72,0,366.344,0
17,193.04,0,340.76,0
18,97.88,0,211.477,0
19,273.76,0,403.313,0
20,295.08,0,409.922,0
21,265.66,0,387.316,0
22,330.66,0,437.403,0
23,376.86,0,460.708,0
24,304.26,0,407.86,0
25,488.14,0,471.074,0
26,386,0,479.45,0
27,432.16,0,479.927,0
28,454.82,0,480.486,0
29,383.96,0,479.705,0
30,409.64,0,452.911,0
31,479.06,0,480.903,0
32,408.4,0,467.215,0
33,477.88,0,484.28,0
34,456.06,0,482.881,0
35,479.56,0,483.387,0
36,388.04,0,479.311,0
37,459.82,0,494.898,0
38,642.84,0,476.641,0
39,480.14,0,496.481,0
40,511.54,0,487.889,0
41,423.88,0,486.507,0
42,602.84,0,486.209,0
43,562.64,0,492.346,0
44,662.32,0,471.113,0
45,618.66,0,486.412,0
46,583.62,0,489.243,0
47,539.06,0,497.357,0
48,605.14,0,483.625,0
49,608.7,0,479.862,0
