Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,21.12,0,10.4347
1,0,17.12,0,10.9761
2,0,18.24,0,9.4514
3,0,18.56,0,11.3392
4,0,20.44,0,13.1245
5,0,22.06,0,13.6806
6,0,19.72,0,11.9779
7,0,22.44,0,13.488
8,0,19,0,9.81877
9,0,17.48,0,9.17904
10,0,22.16,0,12.1191
11,0,18.42,0,10.6351
12,0,18.96,0,12.2073
13,0,23.76,0,19.0548
14,0,18.94,0,14.4496
15,0,21.72,0,14.5364
16,0,23.32,0,19.5421
17,0,24.34,0,16.369
18,0,20,0,15.8707
19,0,20.5,0,16.7042
20,0,20.8,0,13.4483
21,0,21.58,0,13.2574
22,0,16.02,0,11.0629
23,0,17.58,0,8.07134
24,0,20.52,0,11.699
25,0,18.06,0,9.85903
26,0,19.62,0,13.2694
27,0,18.14,0,10.3589
28,0,20.04,0,10.7152
29,0,21.08,0,14.5291
30,0,17.48,0,8.32562
31,0,23.1,0,14.3189
32,0,19.84,0,10.7899
33,0,18.78,0,10.1766
34,0,20.88,0,13.2336
35,0,20.76,0,11.9259
36,0,18.1,0,11.9851
37,0,22,0,16.2744
38,0,20,0,12.9851
39,0,15.68,0,7.54697
40,0,20.84,0,16.2573
41,0,18.18,0,9.86581
42,0,19.94,0,11.2693
43,0,20.3,0,12.3326
44,0,20.5,0,14.8753
45,0,21.68,0,13.1062
46,0,21.34,0,13.0127
47,0,19.38,0,12.6924
48,0,19.24,0,13.1017
49,0,24.1,0,20.0746
