Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-53.944,0,23.2229
1,0,-50.865,0,57.0585
2,0,-31.114,0,42.8387
3,0,-24.167,0,43.3806
4,0,-13.473,0,16.9386
5,0,-12.928,0,14.8715
6,0,-16.37,0,36.8902
7,0,-16.624,0,38.9951
8,0,-12.715,0,18.8989
9,0,-14.56,0,34.6989
10,0,-12.439,0,23.4653
11,0,-8.087,0,8.67616
12,0,-11.251,0,19.5117
13,0,-8.295,0,10.783
14,0,-13.22,0,34.154
15,0,-7.708,0,11.913
16,0,-10.095,0,26.1418
17,0,-14.155,0,43.805
18,0,-7.905,0,13.5481
19,0,-7.711,0,10.6759
20,0,-7.427,0,9.58059
21,0,-10.608,0,30.5651
22,0,-7.885,0,15.8869
23,0,-7.221,0,10.0351
24,0,-8.504,0,21.9088
25,0,-6.976,0,15.495
26,0,-6.973,0,14.4439
27,0,-5.63,0,7.28443
28,0,-4.982,0,7.95229
29,0,-5.358,0,6.36222
30,0,-7.05,0,9.87206
31,0,-6.188,0,7.22057
32,0,-5.445,0,6.2298
33,0,-4.226,0,5.51217
34,0,-7.941,0,30.4235
35,0,-7.894,0,30.1307
36,0,-5.802,0,8.3669
37,0,-8.659,0,33.001
38,0,-5.433,0,7.77395
39,0,-6.849,0,30.2135
40,0,-5.133,0,6.74459
41,0,-6.847,0,30.0111
42,0,-7.404,0,30.3308
43,0,-4.66,0,14.3168
44,0,-5.758,0,13.0908
45,0,-4.429,0,10.8835
46,0,-3.874,0,7.81043
47,0,-4.358,0,8.25708
48,0,-3.966,0,9.11471
49,0,-3.641,0,8.54318
50,0,-4.244,0,7.4829
51,0,-3.711,0,5.2014
52,0,-3.519,0,6.78846
53,0,-3.638,0,6.98428
54,0,-4.331,0,8.23065
55,0,-5.841,0,10.1941
56,0,-4.394,0,9.01778
57,0,-3.687,0,6.76376
58,0,-4.21,0,8.65213
59,0,-4.346,0,6.07172
60,0,-7.243,0,30.5157
61,0,-3.709,0,5.31286
62,0,-4.652,0,8.6883
63,0,-4.367,0,8.55746
64,0,-3.774,0,6.80259
65,0,-3.819,0,6.82665
66,0,-3.541,0,6.15349
67,0,-4.706,0,10.0045
68,0,-3.137,0,5.4991
69,0,-6.944,0,30.6626
70,0,-3.977,0,6.41682
71,0,-6.987,0,30.4432
72,0,-4.661,0,6.39397
73,0,-3.587,0,6.75126
74,0,-2.563,0,4.87841
75,0,-2.982,0,6.91518
76,0,-6.747,0,30.6074
77,0,-4.544,0,8.81801
78,0,-3.393,0,5.19357
79,0,-4.726,0,17.923
80,0,-2.974,0,5.69266
81,0,-4.489,0,7.3353
82,0,-3.819,0,6.48594
83,0,-4.391,0,5.63309
84,0,-3.683,0,6.46818
85,0,-4.609,0,7.69976
86,0,-3.499,0,6.59875
87,0,-4.926,0,11.9021
88,0,-4.516,0,6.97141
89,0,-6.644,0,21.6393
90,0,-4.37,0,10.3224
91,0,-4.467,0,13.7938
92,0,-3.271,0,4.57614
93,0,-3.98,0,6.51575
94,0,-3.425,0,6.74178
95,0,-4.521,0,8.18539
96,0,-4.177,0,6.36804
97,0,-5.28,0,12.1317
98,0,-3.951,0,6.6654
99,0,-3.853,0,7.36623
