Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,51.84,550.82,197.834,503.655
1,170.44,813.22,370.584,399.882
2,252.88,875.66,430.836,339.42
3,289.98,868.56,454.201,330.151
4,292.42,903.22,452.997,295.286
5,295.02,900.48,451.753,302.939
6,309.98,888.52,463.585,306.664
7,334.84,869.24,469.17,328.598
8,352.5,937.94,477.763,250.701
9,372.42,937.94,484.11,250.698
10,352.54,888.64,477.75,306.358
11,380.44,874.32,479.013,317.071
12,435.12,940.24,495.624,242.404
13,432.98,886.58,497.282,311.991
14,415.5,906.4,491.841,286.19
15,435.9,940.76,495.141,240.647
16,498.96,922.14,498.13,269.841
17,515.76,907.7,501.034,282.605
18,596.94,973.58,492.577,185.558
19,595.78,941.82,493.583,236.994
20,635.34,931.58,485.306,245.277
21,655.14,924.48,479.897,262.227
22,695.5,941.74,465.219,237.289
23,735.28,954.04,447.242,228.256
24,775.56,958.46,423.933,210.084
25,795.26,941.76,410.985,237.195
26,815.18,924.98,396.207,260.741
27,842.78,943.02,366.231,232.942
28,821.16,908.1,384.773,281.509
29,860.84,941.76,348.608,237.197
30,894.92,907.14,318.079,284.907
31,863.58,892.46,342.248,296.877
32,915.98,926.12,288.332,257.286
33,861.3,926.44,335.365,256.307
34,882.22,856.78,323.192,333.369
35,916.74,925.86,286.206,258.099
36,904.98,876.58,291.157,311.249
37,923.62,911.2,266.6,273.174
38,891.32,893.14,305.012,296.222
39,920.9,894.64,273.942,291.484
40,920.2,912.5,275.871,269.72
41,900.62,911.14,303.001,273.393
42,939.36,910.96,245.79,273.826
43,937.38,876.24,252.257,312.025
44,937.26,910.52,252.687,274.931
45,921.16,894.48,272.655,291.85
46,918.12,876.36,282.018,311.701
47,906.96,893.66,286.103,293.878
48,957.64,876.74,213.598,310.883
49,957.4,861.4,214.457,322.849
