Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-58.184,-59.65,28.1692,38.6785
1,-36.866,-46.757,45.356,55.5489
2,-42.486,-47.638,76.8526,69.6144
3,-38.492,-28.6,58.0529,39.5608
4,-25.293,-39.567,37.4598,64.7649
5,-23.651,-33.116,34.0968,59.7315
6,-22.707,-25.393,32.7977,46.8065
7,-21.084,-27.542,20.5551,40.3239
8,-22.145,-20.555,26.4052,26.0093
9,-21.192,-22.312,32.6005,26.683
10,-24.192,-21.442,43.1502,23.64
11,-22.488,-18.099,44.0093,32.0503
12,-18.165,-22.87,18.3972,37.4542
13,-16.978,-21.116,31.5685,37.0778
14,-19.53,-15.658,33.4403,16.0238
15,-17.232,-21.143,14.8416,38.1238
16,-19.196,-16.351,27.1501,24.4898
17,-15.172,-18.128,17.7482,32.0507
18,-22.524,-13.372,43.1379,13.8846
19,-24.509,-16.655,45.2404,31.4346
20,-16.524,-16.46,20.0768,30.6806
21,-16.733,-15.038,33.372,16.3089
22,-15.343,-14.414,16.981,12.0803
23,-17.459,-12.56,31.6582,12.4111
24,-15.683,-11.974,17.1801,14.3839
25,-15.221,-14.04,15.0285,22.375
26,-12.519,-15.841,13.8894,32.8459
27,-19.108,-14.191,35.1012,31.1
28,-16.366,-12.865,32.3194,13.5784
29,-17.499,-13.145,32.4542,14.3144
30,-13.109,-11.525,15.0875,15.9869
31,-14.898,-11.427,32.43,13.1291
32,-12.906,-15.013,15.6516,31.8234
33,-13.81,-15.223,17.4321,33.2269
34,-15.356,-9.323,32.5442,9.45648
35,-11.973,-14.482,16.5652,31.7585
36,-13.873,-15.586,23.383,34.2019
37,-14.619,-11.438,18.32,12.6098
38,-13.093,-11.656,16.2104,19.1041
39,-16.754,-12.537,33.366,15.3972
40,-11.983,-12.22,15.1405,18.3704
41,-12.06,-14.665,18.5481,35.3127
42,-11.514,-21.224,13.0592,49.1422
43,-13.687,-13.105,19.2484,31.6627
44,-15.656,-14.031,32.2814,32.1323
45,-17.13,-13.365,42.7037,25.3214
46,-17.315,-14.654,35.0398,31.4618
47,-18.534,-14.118,32.9325,31.899
48,-23.005,-12.179,51.9232,15.96
49,-17.369,-10.62,37.9335,19.3197
50,-18.939,-11.41,44.1648,13.5111
51,-19.218,-14.108,42.4605,23.868
52,-13.323,-14.106,32.0874,30.9768
53,-17.732,-14.442,43.1006,31.5444
54,-11.048,-10.07,20.6068,13.942
55,-18.496,-10.959,40.195,14.702
56,-15.598,-16.624,33.9853,42.3941
57,-15.051,-12.287,27.9108,19.441
58,-13.517,-10.945,15.7287,15.9214
59,-13.56,-13.343,20.0105,31.7088
60,-14.019,-11.84,34.3863,13.3136
61,-17.059,-9.548,35.1318,12.4766
62,-13.668,-20.205,15.568,51.5038
63,-17.508,-13.577,35.4441,31.7402
64,-14.547,-12.175,32.0561,32.901
65,-14.226,-15.178,23.9784,42.3465
66,-12.311,-11.228,16.3883,30.2515
67,-15.795,-12.178,32.75,31.2264
68,-12.864,-14.39,32.1279,42.3699
69,-10.416,-12.528,12.068,31.2423
70,-16.241,-11.962,42.2372,30.9476
71,-11.736,-10.138,14.1437,14.3777
72,-11.023,-16.453,14.5197,33.869
73,-17.92,-13.305,42.9994,29.3558
74,-14.774,-15.243,33.2434,42.7033
75,-14.736,-10.389,32.173,30.2128
76,-12.422,-8.354,16.5772,9.01023
77,-10.542,-10.146,21.2403,12.5332
78,-14.668,-16,33.2674,44.3429
79,-12.513,-9.03,30.8318,10.6344
80,-9.582,-11.123,11.744,14.9391
81,-12.311,-10.801,16.6094,16.7911
82,-11.995,-16.078,14.2242,43.6141
83,-13.231,-8.709,31.4771,9.00695
84,-12.849,-13.418,14.3575,31.939
85,-12.98,-12.171,31.476,30.9403
86,-9.802,-13.165,11.5901,32.677
87,-13.511,-9.934,18.1591,30.235
88,-11.816,-11.324,15.8829,13.3431
89,-11.51,-12.95,14.7814,31.2837
90,-15.014,-9.975,32.4415,21.1377
91,-14.269,-13.371,34.3867,31.4123
92,-13.939,-14.929,31.8127,42.0559
93,-14.336,-14.604,18.6507,39.6886
94,-14.665,-11.877,31.7634,31.233
95,-14.029,-8.923,22.1256,13.6077
96,-10.682,-9.683,13.3417,11.424
97,-13.432,-8.296,32.2936,10.026
98,-12.994,-8.922,31.8396,11.5775
99,-13.045,-9.335,15.9497,12.2593
